era,year,gap,dist_last_h,adj_opp_h,adj_own_h,is_corner_open_h,dens_delta_h,dist_last_kg,adj_opp_kg,adj_own_kg,is_corner_open_kg,dens_delta_kg,katago_winrate,katago_top1_prior
E1,2017,0.38189625475256445,0.2,0.0,0.0,0.0,0.0,0.30413812651491096,0.25,0.25,0.0,-0.1,0.625093646,0.446482569
E1,2016,0.3329190916882419,0.2692582403567252,0.0,0.0,0.0,-0.1,0.3605551275463989,0.25,0.0,0.0,0.1,0.707987247,0.611726403
E1,2017,0.0,0.07071067811865475,0.25,0.25,0.0,-0.2,0.07071067811865475,0.25,0.25,0.0,-0.2,0.165941913,0.988914311
E1,2017,0.25,0.2692582403567252,0.25,0.25,0.0,0.1,0.2692582403567252,0.25,0.0,0.0,0.1,0.680534225,0.164442226
E1,2017,0.3143036693460698,0.05,0.25,0.0,0.0,0.0,0.21213203435596423,0.0,0.0,0.0,0.1,0.355318593,0.22429958
E1,2017,0.0,0.05,0.5,0.0,0.0,-0.1,0.05,0.5,0.0,0.0,-0.1,0.506754848,0.627029657
E1,2017,0.0,0.1118033988749895,0.25,0.25,0.0,0.0,0.1118033988749895,0.25,0.25,0.0,0.0,0.427922479,0.490124881
E1,2016,0.32908714903622754,0.3640054944640259,0.25,0.0,0.0,0.0,0.15,0.5,0.0,0.0,0.0,0.391462574,0.0326740108
E1,2016,1.1236102527122116,0.1,0.0,0.5,0.0,-0.1,0.05,1.0,0.0,0.0,-0.2,0.534794713,0.310521245
E1,2017,1.0315951782066248,0.1118033988749895,0.0,0.0,0.0,0.1,0.07071067811865475,0.0,0.25,1.0,0.1,0.366928414,0.594922721
E1,2017,0.7807001008430335,0.1118033988749895,0.0,0.0,0.0,0.0,0.30413812651491096,0.0,0.75,0.0,-0.1,0.25083618,0.0843731761
E1,2017,0.0,0.1,0.25,0.25,0.0,0.0,0.1,0.25,0.25,0.0,0.0,0.174480248,0.97744453
E1,2017,0.0,0.15,0.25,0.25,0.0,-0.1,0.15,0.25,0.25,0.0,-0.1,0.474885351,0.444913447
E1,2017,0.0,0.20615528128088303,0.0,0.0,0.0,0.0,0.20615528128088303,0.0,0.0,0.0,0.0,0.697550808,0.283403963
E1,2017,0.0,0.05,0.25,0.0,0.0,0.0,0.05,0.25,0.0,0.0,0.0,0.410146445,0.996192098
E2,2021,0.5288700585165812,0.5220153254455275,0.25,0.0,0.0,-0.2,0.282842712474619,0.0,0.0,0.0,0.2,0.45143807,0.375699639
E2,2021,0.3833152553159151,0.5590169943749475,0.0,0.0,0.0,-0.2,0.7071067811865476,0.25,0.25,0.0,-0.2,0.203996203,0.469158322
E2,2020,0.5025592851569597,0.05,0.25,0.0,0.0,0.0,0.4743416490252569,0.0,0.0,0.0,-0.1,0.570101687,0.418234944
E2,2021,0.48258571724691585,0.1,0.25,0.25,0.0,-0.1,0.3605551275463989,0.0,0.0,0.0,0.1,0.522460011,0.0887817964
E2,2019,0.0,0.07071067811865475,0.0,0.25,1.0,-0.2,0.07071067811865475,0.0,0.25,1.0,-0.2,0.364532999,0.944768608
E2,2021,1.4072519527838927,0.05,1.0,0.0,0.0,-0.1,0.6964194138592059,0.25,0.0,1.0,-0.1,0.776926436,0.0949350595
E2,2018,0.0,0.25,0.0,1.0,1.0,0.1,0.25,0.0,1.0,1.0,0.1,0.518142321,0.87424916
E2,2020,0.3730524204775437,0.31622776601683794,0.25,0.25,0.0,0.0,0.38078865529319544,0.0,0.0,0.0,-0.1,0.398465939,0.0461699218
E2,2019,0.0,0.05,0.5,0.5,0.0,-0.2,0.05,0.5,0.5,0.0,-0.2,0.798341925,0.996377409
E2,2018,0.0,0.1118033988749895,0.0,0.0,1.0,0.0,0.1118033988749895,0.0,0.0,1.0,0.0,0.450443304,0.481219411
E2,2019,1.1942273806451096,0.223606797749979,0.25,0.25,0.0,0.0,0.7632168761236874,0.0,0.0,1.0,-0.1,0.650075468,0.225210369
